"Word","Part of Speech","Chinese Translation","Example Sentence"
"best","adj + adv","最好的 / 最好地","This is the best day ever!"
"cloud","n","雲","Look at that white cloud in the sky."
"cloudy","adj","多雲的","It is cloudy today, so we can't see the sun."
"coat","n","外套","Put on your coat, it is cold outside."
"cold","adj + n","冷的 / 感冒","I feel cold, I need a sweater."
"fair","adj","晴朗的","The weather is fair today, let's go for a walk."
"every","det","每個","Every child likes playing in the snow."
"homework","n","功課","I need to finish my homework before dinner."
"hot","adj","熱的","It is very hot in summer."
"fine","adj + excl","晴朗的 / 好的","The weather is fine today."
"drop","v","落下 / 掉下","Raindrops drop from the sky."
"Friday","n","星期五","We have a music class on Friday."
"Jim","n","吉姆 (人名)","Jim is playing with his toy car."
"last","adj + adv","上一個 / 最後","We went to the zoo last week."
"Monday","n","星期一","Monday is the first day of the school week."
"on","adv + prep","在...上面 / 在 (某天)","The book is on the table."
"out","adv","在外面","Let's go out and play!"
"outside","adv + n","在外面 / 外部","It is raining outside."
"put on","v","穿上","Put on your shoes, please."
"rain","n + v","雨 / 下雨","I like the sound of rain."
"Saturday","n","星期六","I go to the park every Saturday."
"scarf","n","圍巾","Wear a warm scarf on windy days."
"sky","n","天空","The sky is blue and beautiful."
"snow","n + v","雪 / 下雪","The ground is covered with white snow."
"Sunday","n","星期日","Sunday is a holiday for us."
"sunny","adj","晴朗的 / 陽光充足的","It is a sunny day, let's go swimming."
"sweater","n","毛衣","This red sweater is very warm."
"temperature","n","溫度","The temperature is very high today, it's hot!"
"think","v","想 / 認為","I think it is going to rain."
"Thursday","n","星期四","Thursday comes after Wednesday."
"Tuesday","n","星期二","We have gym class on Tuesday."
"wait","v","等待","Wait for me at the school gate."
"wake (up)","v","醒來","I wake up at seven o'clock every morning."
"weather","n","天氣","What is the weather like today?"
"Wednesday","n","星期三","Wednesday is in the middle of the week."
"week","n","星期 / 週","There are seven days in a week."
"weekend","n","週末","What do you do at the weekend?"
"wet","adj","濕的","My shoes are wet because of the rain."
"where","pron","在哪裡","Where is my school bag?"
"why","int","為什麼","Why is the sky blue?"
"wind","n","風","The strong wind blew away my hat."
"windy","adj","有風的 / 風大的","It is windy today, perfect for flying a kite."
"yesterday","adv + n","昨天","Yesterday was a rainy day."





