"Word","Part of Speech","Chinese Translation","Example Sentence"
"bus station","n","公車總站","The big bus is at the bus station."
"bus stop","n","公車車站","We wait for the bus at the bus stop."
"city","n","城市","The city has many tall buildings."
"cloud","n","雲","I see a white cloud in the sky."
"driver","n","司機 / 駕駛員","The tractor driver waved at us."
"field","n","田野 / 牧場","The cows are eating grass in the field."
"forest","n","森林","Many trees grow in the forest."
"grass","n","草 / 草地","The grass is green and soft."
"ground","n","地面 / 土地","Leaves fell on the ground."
"island","n","島嶼","We took a boat to the island."
"jungle","n","叢林","There are many tall trees and wild animals in the jungle."
"lake","n","湖泊","We saw ducks swimming in the lake."
"leaf/leaves","n","葉子 (單數/複數)","The giraffe eats leaves from the tall tree."
"mountain","n","高山","We can see snow on top of the mountain."
"plant","n + v","植物 / 種植","We plant flowers in the field."
"rainbow","n","彩虹","I see a colorful rainbow after the rain."
"river","n","河流","The river flows through the forest."
"rock","n","巖石 / 大石頭","We climbed over the big rock."
"salad","n","沙拉","I like to eat tomato salad."
"sandwich","n","三明治","I have a cheese sandwich for lunch."
"skate","n + v","溜冰 / 溜滑輪","I can skate on the ice."
"snow","n + v","雪 / 下雪","We love to play in the snow."
"ticket","n","票 / 車票","Show your ticket to the driver."
"top","adj + n","頂部 / 頂端","We reached the top of the mountain."
"town","n","城鎮 / 小鎮","We live in a small town near the forest."
"tractor","n","耕耘機","The farmer drives a red tractor."
"treasure","n","寶藏","We found a treasure box in the cave."
"vegetable","n","蔬菜","Carrots are my favorite vegetable."
"waterfall","n","瀑布","The water falls down the high waterfall."
