"Word","Part of Speech","Chinese Translation","Example Sentence"
"above","prep","在...上面","The bird is flying above the trees."
"after","prep","在...之後","We can play after school."
"age","n","年齡","What is your age?"
"all right","adj + adv","沒關係，好吧","Are you all right?"
"another","det + pron","另一個","Can I have another apple?"
"badly","adv","糟糕地","He played the game badly."
"because","conj","因為","I am happy because it is my birthday."
"before","prep","在...之前","Wash your hands before dinner."
"below","prep","在...下面","The fish are swimming below the water."
"carefully","adv","小心地","Please hold the glass carefully."
"change","v","改變/換","Let's change the game."
"difference","n","不同","Can you find the difference between these two pictures?"
"down","adv + prep","向下","Please sit down."
"excuse me","dis","打擾一下","Excuse me, where is the restroom?"
"get dressed","v","穿衣服","I get dressed in the morning."
"get on","v","上車","We get on the school bus."
"get undressed","v","脫衣服","I get undressed before taking a bath."
"hundred","n","百","I can count to one hundred."
"idea","n","主意","I have a good idea for a game."
"inside","adv + n + prep","在...裡面","What is inside the big toy box?"
"lose","v","輸掉","It's okay to lose a game sometimes."
"loudly","adv","大聲地","Do not speak loudly in the library."
"mean","v","意思是","What does this word mean?"
"mistake","n","錯誤","I made a mistake in my drawing."
"outside","adv + n + prep","在...外面","It is raining outside."
"quick","adj","快的","Be quick, the bus is coming!"
"quietly","adv","安靜地","The children are reading quietly in the library."
"round","adj + adv","圓的","The ball is round."
"slowly","adv","緩慢地","The turtle walks slowly."
"someone","pron","有人","Someone is knocking at the door."
"something","pron","某事/某物","I have something in my pocket."
"square","adj + n","正方形","This box is square."
"up","adv + prep","向上","Please look up at the sky."
