"Word","Part of Speech","Chinese Translation","Example Sentence"
"bat","n","蝙蝠","The toy bat has purple wings."
"cage","n","籠子","The toy monkey is in a little cage."
"clown","n","小丑","The funny clown is riding a small bicycle."
"comic","n","漫畫書","I love reading this funny comic."
"comic book","n","漫畫書","He bought a new comic book today."
"dolphin","n","海豚","The toy dolphin floats in the bath."
"farm","n","農場","My toy farm has cows and horses."
"farmer","n","農民","The toy farmer is driving a red tractor."
"kangaroo","n","袋鼠","The toy kangaroo has a baby in its pouch."
"kitten","n","小貓","The cute toy kitten has green eyes."
"lion","n","獅子","The toy lion has a big mane."
"panda","n","大貓熊","The soft toy panda is black and white."
"parrot","n","鸚鵡","The colorful toy parrot can mimic sounds."
"pirate","n","海盜","The toy pirate has a wooden leg."
"puppy","n","小狗","I want that cute toy puppy for my birthday."
"rabbit","n","兔子","The toy rabbit has long ears."
"roller skates","n","溜冰鞋","I want to learn how to use roller skates."
"roof","n","屋頂","The dollhouse has a red roof."
"shark","n","鯊魚","The toy shark has sharp white teeth."
"tall","adj","高的","He built a very tall tower with blocks."
"whale","n","鯨魚","The toy whale is blue and very big."
