"Word","Part of Speech","Chinese Translation","Example Sentence"
"blond(e)","adj","金髮的","She has blond hair."
"bottle","n","瓶子","Pass me the bottle of water, please."
"bowl","n","碗","Here is a bowl of soup."
"cheese","n","起司","I like cheese on my pizza."
"cry","v","哭","The baby starts to cry when she is hungry."
"cup","n","杯子","I have a cup of milk."
"daughter","n","女兒","She is my uncle's daughter."
"fly","n","蒼蠅","Look at that fly on the wall."
"glass","n","玻璃杯","I drink milk from a glass."
"granddaughter","n","孫女，外孫女","The old man loves his granddaughter."
"grandparent","n","祖父母，外祖父母","My grandparent lives in the countryside."
"grandson","n","孫子，外孫","They have a young grandson."
"grown-up","n","大人，成年人","Ask a grown-up for help."
"hide","v","躲藏","Let's hide behind the door."
"message","n","消息，留言","I got a message from my friend."
"parent","n","父親或母親，家長","My parent is very kind."
"plate","n","盤子","Put the cake on the plate."
"quiet","adj","安靜的","Please be quiet, the baby is sleeping."
"son","n","兒子","He is their only son."
"soup","n","湯","This chicken soup is hot."
