"Word","Part of Speech","Chinese Translation","Example Sentence"
"back","adj + adv + n","背部","My back hurts after carrying the heavy bag."
"better","adj + adv","身體好轉的，更好的","I hope you feel better soon!"
"cold","adj + n","感冒 / 冷的","I put on my coat because I am cold."
"cough","n","咳嗽","He has a bad cough, he should drink some warm water."
"cup","n","杯子","I drink a cup of milk every morning."
"curly","adj","捲曲的","She has beautiful curly hair."
"doctor","n","醫生","The doctor gave me some medicine."
"earache","n","耳朵痛","I have an earache, so I cannot hear well."
"fat","adj","胖的","The fat cat is sleeping on the sofa."
"headache","n","頭痛","She has a headache and needs to rest."
"hurt","v","疼，受傷","My knee hurts after I fell down."
"moustache","n","鬍子","My dad has a black moustache."
"neck","n","脖子","The giraffe has a very long neck."
"nurse","n","護士","The nurse is very kind to the patients."
"plant","n + v","植物/種植","There is a beautiful plant on the table."
"shoulder","n","肩膀","He carried the bag on his shoulder."
"stomach","n","胃，肚子","My stomach is full after eating the pizza."
"tea","n","茶","My mother likes to drink tea in the afternoon."
"thin","adj","瘦的，薄的","The book is very thin."
"tooth/teeth","n","牙齒","You should brush your teeth twice a day."
